power_W,duration_s,wall_thickness_mm,bottom_buffer_mm,cooling_h_W_per_m2K,insertion_depth_mm,nx,ny,dt_s,source_smoothing_mm,lesion_depth_mm,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,name,sample_id,cooling_h_nominal_W_per_m2K,insertion_nominal_mm,cooling_h_sampled_W_per_m2K,insertion_sampled_mm,overheat
50.0,10.0,2.0,4.0,720.6572433496257,1.4863900160806847,281,106,0.05,0.2,2.0,1.0,True,0.0,92.89889044007862,hpsd_50W_10s,1,800.0,1.5,720.6572433496257,1.4863900160806847,False
50.0,10.0,2.0,4.0,806.8175187065142,1.4362487749720023,281,106,0.05,0.2,2.0,1.0,True,0.0,90.41752610551717,hpsd_50W_10s,2,800.0,1.5,806.8175187065142,1.4362487749720023,False
50.0,10.0,2.0,4.0,780.1366342764692,1.6103688179149132,281,106,0.05,0.2,2.0,1.0,True,0.0,93.83927659675038,hpsd_50W_10s,3,800.0,1.5,780.1366342764692,1.6103688179149132,False
50.0,10.0,2.0,4.0,1041.063467101712,1.6678671423742544,281,106,0.05,0.2,2.0,1.0,True,0.0,90.59083644350955,hpsd_50W_10s,4,800.0,1.5,1041.063467101712,1.6678671423742544,False
50.0,10.0,2.0,4.0,640.6430129347523,1.5283918283906623,281,106,0.05,0.2,2.0,1.0,True,0.0,95.42957613516629,hpsd_50W_10s,5,800.0,1.5,640.6430129347523,1.5283918283906623,False
50.0,10.0,2.0,4.0,710.1154152062668,1.8043624678852048,281,106,0.05,0.2,2.0,1.0,True,0.0,98.52267219774997,hpsd_50W_10s,6,800.0,1.5,710.1154152062668,1.8043624678852048,False
50.0,10.0,2.0,4.0,906.9587572107212,1.267385446761014,281,106,0.05,0.2,2.0,1.0,True,0.0,85.99080846641134,hpsd_50W_10s,7,800.0,1.5,906.9587572107212,1.267385446761014,False
90.0,4.0,2.0,4.0,865.0347208577392,1.3573950167904016,281,106,0.05,0.2,1.5885577777221729,0.7942788888610864,False,0.15428571428571514,102.04999707197392,vhpsd_90W_4s,0,800.0,1.5,865.0347208577392,1.3573950167904016,True
90.0,4.0,2.0,4.0,720.6572433496257,1.4863900160806847,281,106,0.05,0.2,1.633956144646543,0.8169780723232715,False,0.5289795918367376,106.74169218801606,vhpsd_90W_4s,1,800.0,1.5,720.6572433496257,1.4863900160806847,True
90.0,4.0,2.0,4.0,806.8175187065142,1.4362487749720023,281,106,0.05,0.2,1.6147865565277209,0.8073932782638604,False,0.3379591836734712,104.36798220734109,vhpsd_90W_4s,2,800.0,1.5,806.8175187065142,1.4362487749720023,True
90.0,4.0,2.0,4.0,780.1366342764692,1.6103688179149132,281,106,0.05,0.2,1.665072937228507,0.8325364686142535,False,0.6538775510204118,107.85800054419494,vhpsd_90W_4s,3,800.0,1.5,780.1366342764692,1.6103688179149132,True
90.0,4.0,2.0,4.0,1041.063467101712,1.6678671423742544,281,106,0.05,0.2,1.673810691399522,0.836905345699761,False,0.38938775510204293,105.07224971185313,vhpsd_90W_4s,4,800.0,1.5,1041.063467101712,1.6678671423742544,True
90.0,4.0,2.0,4.0,640.6430129347523,1.5283918283906623,281,106,0.05,0.2,1.6482944348987523,0.8241472174493761,False,0.7640816326530655,109.00601475348202,vhpsd_90W_4s,5,800.0,1.5,640.6430129347523,1.5283918283906623,True
90.0,4.0,2.0,4.0,710.1154152062668,1.8043624678852048,281,106,0.05,0.2,1.7219911285583214,0.8609955642791607,False,1.146122448979598,112.30185780838157,vhpsd_90W_4s,6,800.0,1.5,710.1154152062668,1.8043624678852048,True
90.0,4.0,2.0,4.0,906.9587572107212,1.267385446761014,281,106,0.05,0.2,1.5600551708298862,0.7800275854149431,False,0.0,99.73552421978303,vhpsd_90W_4s,7,800.0,1.5,906.9587572107212,1.267385446761014,False
30.0,30.0,2.0,4.0,811.7512095808169,1.767006901151329,281,106,0.05,0.2,2.0,1.0,True,0.0,84.97920959028056,standard_30W_30s,0,800.0,2.0,811.7512095808169,1.767006901151329,False
30.0,30.0,2.0,4.0,600.1744894135553,2.136782267966186,281,106,0.05,0.2,2.0,1.0,True,0.0,96.12817815624088,standard_30W_30s,1,800.0,2.0,600.1744894135553,2.136782267966186,False
30.0,30.0,2.0,4.0,984.8088949425323,1.8366504854600623,281,106,0.05,0.2,2.0,1.0,True,0.0,83.14727159101872,standard_30W_30s,2,800.0,2.0,984.8088949425323,1.8366504854600623,False
30.0,30.0,2.0,4.0,757.7125760662651,2.4289275897724822,281,106,0.05,0.2,2.0,1.0,True,0.0,96.9905149831063,standard_30W_30s,3,800.0,2.0,757.7125760662651,2.4289275897724822,False
