name,wall_thickness_mm,cooling_h_nominal_W_per_m2K,insertion_nominal_mm,transmural_probability,overheat_probability,depth_fraction_mean,depth_fraction_p10,depth_fraction_p50,depth_fraction_p90,lesion_depth_mean_mm,tmax_mean_C,tmax_p90_C,n_samples
standard_30W_30s,4.0,2500.0,2.0,0.0,0.0,0.8119364104532353,0.7870515473597213,0.8095889065852355,0.837101937387141,3.247745641812941,72.3212272403617,74.11466367927311,8
standard_30W_30s,6.0,800.0,0.5,0.0,0.0,0.3878414477923858,0.3616673409469999,0.3848307273479685,0.4149389916921174,2.3270486867543148,63.365394588147005,65.80036443101079,8
standard_30W_30s,6.0,800.0,1.0,0.0,0.0,0.4525017741438411,0.41672439949146894,0.4580266111360484,0.4819190934968266,2.7150106448630464,68.71435993921173,72.17547953304802,8
standard_30W_30s,6.0,800.0,1.5,0.0,0.0,0.5038721110553099,0.47675066198404076,0.5076084723004733,0.5224128420375528,3.0232326663318596,74.57335352423361,78.41529627965099,8
standard_30W_30s,6.0,800.0,2.0,0.0,0.0,0.5494743426571711,0.5270249291968739,0.5446028592801463,0.5754371735285285,3.2968460559430266,81.26867618518149,86.66824915465936,8
standard_30W_30s,6.0,1500.0,0.5,0.0,0.0,0.34173474303622847,0.3054389723295601,0.34171589091703714,0.37924478189468475,2.0504084582173707,59.600544608043805,61.717114497697885,8
standard_30W_30s,6.0,1500.0,1.0,0.0,0.0,0.41672122071711754,0.3842033995736099,0.413210840417773,0.4646169344341377,2.500327324302705,63.93230390449793,68.16837928337715,8
standard_30W_30s,6.0,1500.0,1.5,0.0,0.0,0.47095732139438107,0.44708801187490144,0.47210342625187995,0.4924050482461808,2.8257439283662866,68.05167187870364,69.85246838637106,8
standard_30W_30s,6.0,1500.0,2.0,0.0,0.0,0.5228024098369127,0.5073273651120166,0.5255124184802138,0.5370385557833229,3.1368144590214766,73.35782749724245,75.07649581546694,8
standard_30W_30s,6.0,2500.0,0.5,0.0,0.0,0.2954455562854807,0.23743969187463054,0.3047879244001377,0.3330253397971683,1.7726733377128843,57.41135313993282,58.481640589985005,8
standard_30W_30s,6.0,2500.0,1.0,0.0,0.0,0.3861533416175523,0.3554370291555317,0.3813190324491622,0.4186099397210688,2.316920049705314,60.972524273620635,63.016592535303744,8
standard_30W_30s,6.0,2500.0,1.5,0.0,0.0,0.4507480928321025,0.4212649551826109,0.4492177021188868,0.47842103948739334,2.704488556992615,65.18592023085992,67.34526660614681,8
