power_W,duration_s,wall_thickness_mm,bottom_buffer_mm,cooling_h_W_per_m2K,insertion_depth_mm,nx,ny,dt_s,source_smoothing_mm,lesion_depth_mm,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,name,transmural_int
30.0,30.0,3.0,4.0,1500.0,0.5,281,123,0.05,0.2,2.583578914274168,0.8611929714247225,False,0.0,62.96453345966958,standard_30W_30s,0
50.0,10.0,3.0,4.0,1500.0,0.5,281,123,0.05,0.2,1.5914658073040977,0.5304886024346992,False,0.0,67.55540560692049,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,1500.0,0.5,281,123,0.05,0.2,1.162302035842749,0.387434011947583,False,0.0,76.83019921617785,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,1500.0,1.0,281,123,0.05,0.2,2.9216825354283578,0.9738941784761193,False,0.0,67.23581522539625,standard_30W_30s,0
50.0,10.0,3.0,4.0,1500.0,1.0,281,123,0.05,0.2,1.8577181477897653,0.6192393825965885,False,0.0,73.8642604083164,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,1500.0,1.0,281,123,0.05,0.2,1.3699498879805545,0.4566499626601848,False,0.0,85.71027332295347,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,1500.0,1.5,281,123,0.05,0.2,3.0,1.0,True,0.0,72.2104453095255,standard_30W_30s,1
50.0,10.0,3.0,4.0,1500.0,1.5,281,123,0.05,0.2,2.079348440193239,0.6931161467310797,False,0.0,81.0246636104366,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,1500.0,1.5,281,123,0.05,0.2,1.543468093979053,0.5144893646596843,False,0.0,94.61752073763118,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,1500.0,2.0,281,123,0.05,0.2,3.0,1.0,True,0.0,78.04838346828308,standard_30W_30s,1
50.0,10.0,3.0,4.0,1500.0,2.0,281,123,0.05,0.2,2.2757355137926853,0.7585785045975618,False,0.0,88.7304135313702,hpsd_50W_10s,0
