name,wall_thickness_mm,cooling_h_nominal_W_per_m2K,insertion_nominal_mm,transmural_probability,transmural_probability_ci_low,transmural_probability_ci_high,overheat_probability,overheat_probability_ci_low,overheat_probability_ci_high,depth_fraction_mean,depth_fraction_p10,depth_fraction_p50,depth_fraction_p90,lesion_depth_mean_mm,lesion_width_mean_mm,lesion_area_mean_mm2,depth_to_width_ratio_mean,tmax_mean_C,tmax_p90_C,n_samples
hpsd_50W_10s,3.0,800.0,1.0,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.6485084797888419,0.613811057941584,0.6484654281876534,0.6883416660223608,1.9455254393665256,3.606124041772091,5.966591956967246,0.5395062270841496,81.18208302511616,87.00927416564906,64.0
hpsd_50W_10s,3.0,800.0,1.5,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.7159182008766909,0.6856433872074051,0.7135460205208997,0.7479184557596111,2.147754602630072,3.8863973602130084,7.085309938524629,0.5526370467647901,89.1973948615198,93.50227011694062,64.0
hpsd_50W_10s,3.0,800.0,2.0,0.0,0.0,0.056626022971156334,0.28125,0.18593226105484584,0.40134162399503504,0.7757854158442884,0.7450926453236857,0.7745538359162127,0.8043886850319187,2.3273562475328653,4.119880592456484,8.124263575819718,0.5649332757072704,97.3428662339945,102.48827485867658,64.0
hpsd_50W_10s,3.0,1500.0,0.5,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.5309294314827413,0.4838623686005755,0.5321310320117514,0.5789924392194363,1.5927882944482237,2.8569844213878177,3.4895171618852654,0.5575886127158481,67.92677864570648,71.09478535631483,64.0
hpsd_50W_10s,3.0,1500.0,1.0,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.6186103167939271,0.5756999843343401,0.6181381871416185,0.662701209655587,1.8558309503817814,3.2619184299661046,4.955417520491832,0.5689198609018153,74.11124717444078,78.34836416862439,64.0
hpsd_50W_10s,3.0,1500.0,1.5,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.692390419976971,0.6561871352369824,0.6944236728973119,0.729079368366442,2.077171259930913,3.57864278476762,6.227439805327903,0.580408179792122,81.2204424573514,86.20051466320241,64.0
hpsd_50W_10s,3.0,1500.0,2.0,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.758446291479032,0.7223099344630328,0.7583176998256198,0.7915185210203257,2.2753388744370957,3.84819489516534,7.366963370901679,0.5912879321472916,88.99803323220631,94.15599022522409,64.0
hpsd_50W_10s,3.0,2500.0,0.5,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.4932544574135199,0.43099295326623793,0.4965639213056655,0.5470367711867263,1.4797633722405599,2.521034115159071,2.507447489754112,0.5877398406853145,64.95984137374568,67.088170313589,64.0
hpsd_50W_10s,3.0,2500.0,1.0,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.5923191065512865,0.5488658296760308,0.5900818520541709,0.6379030203005522,1.7769573196538597,3.006561906906419,4.064696465163957,0.5909789044800873,70.06330122531784,73.38440345164298,64.0
hpsd_50W_10s,3.0,2500.0,1.5,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.6736447630518562,0.6364846544072653,0.6753496324200736,0.7107432245356726,2.0209342891555684,3.365611389420799,5.431755891393474,0.6003750740054214,76.44283085410014,79.68928787927948,64.0
hpsd_50W_10s,3.0,2500.0,2.0,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.7431108097594011,0.707621574552909,0.7478341018076766,0.778554285568612,2.2293324292782035,3.655565437941724,6.690868340163972,0.6098113968008614,83.54679942235256,86.75243650766191,64.0
hpsd_50W_10s,4.0,800.0,0.5,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.4041964920815869,0.37172877617757705,0.4001612163002398,0.4411855322526921,1.6167859683263477,3.145512645740538,4.286709183673493,0.5138966803593514,71.86630211365491,76.2891782910143,64.0
hpsd_50W_10s,4.0,800.0,1.0,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.4648216294305894,0.431340872968358,0.46709639326923647,0.49179238690677557,1.8592865177223576,3.498525164109714,5.546938775510235,0.5313675170260919,79.07464466464256,83.53472349448153,64.0
hpsd_50W_10s,4.0,800.0,1.5,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.5183701607230411,0.4948107044755802,0.5167509631552639,0.5408780135062491,2.0734806428921644,3.7925347833211767,6.686058673469424,0.5466994116395154,86.88658247903997,91.59244033057693,64.0
hpsd_50W_10s,4.0,800.0,2.0,0.0,0.0,0.056626022971156334,0.09375,0.04367765783128784,0.1898309858327767,0.5651001640012419,0.5416241770468198,0.5645243077996513,0.5885511846409306,2.2604006560049674,4.035313747221502,7.74573979591841,0.5601641673090467,94.87039630062002,99.53025269690339,64.0
hpsd_50W_10s,4.0,1500.0,0.5,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.36811297089054873,0.31944797528543467,0.3706478653303996,0.4113212960748629,1.472451883562195,2.714239370484451,2.9662691326530775,0.5423047831625577,66.3463115324522,69.71515283818964,64.0
hpsd_50W_10s,4.0,1500.0,1.0,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.44053491026710734,0.4121166451474814,0.4435013451488431,0.4693299833674085,1.7621396410684294,3.149656669762076,4.500573979591861,0.5593526292313435,72.38279942725254,75.46849340775312,64.0
hpsd_50W_10s,4.0,1500.0,1.5,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.4999436499506892,0.4716257956981746,0.5009081713294516,0.5274031799547688,1.9997745998027567,3.4851320582635097,5.831575255102074,0.5737439564423723,79.34380067800038,83.82813926050999,64.0
hpsd_50W_10s,4.0,1500.0,2.0,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.5514554615059202,0.527889955861822,0.5527628019677887,0.5754942337543798,2.2058218460236807,3.7613106310784725,6.986938775510242,0.5864235726743612,86.85102995379515,91.42369450290643,64.0
hpsd_50W_10s,4.0,2500.0,0.5,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.3262561237341352,0.27110590867882406,0.333943768236681,0.3873379592559296,1.3050244949365408,2.2661077096314823,1.8595790816326634,0.5807872351278323,63.53015052599702,66.00807543394733,64.0
