power_W,duration_s,wall_thickness_mm,bottom_buffer_mm,cooling_h_W_per_m2K,insertion_depth_mm,nx,ny,dt_s,source_smoothing_mm,lesion_depth_mm,lesion_width_mm,lesion_area_mm2,depth_to_width_ratio,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,name,transmural_int
90.0,4.0,2.0,4.0,1500.0,1.5,281,106,0.05,0.2,1.6093242915238597,3.4644473039569372,4.867346938775536,0.46452555063711354,0.8046621457619298,False,0.0,97.50097482961495,vhpsd_90W_4s,0
30.0,30.0,2.0,4.0,1500.0,2.0,281,106,0.05,0.2,2.0,4.832357103331512,8.963265306122498,0.4138766976929674,1.0,True,0.0,80.08452427113525,standard_30W_30s,1
50.0,10.0,2.0,4.0,1500.0,2.0,281,106,0.05,0.2,2.0,3.937763469205672,7.244081632653101,0.5079025227494025,1.0,True,0.0,91.17926329453287,hpsd_50W_10s,1
90.0,4.0,2.0,4.0,1500.0,2.0,281,106,0.05,0.2,1.758344011962884,3.631122259276962,5.5579591836735,0.4842425802300057,0.879172005981442,False,0.5216326530612273,106.23129142264968,vhpsd_90W_4s,0
30.0,30.0,2.0,4.0,2500.0,0.5,281,106,0.05,0.2,2.0,3.1457958215419484,5.043673469387783,0.6357691704923419,1.0,True,0.0,62.2102086461754,standard_30W_30s,1
50.0,10.0,2.0,4.0,2500.0,0.5,281,106,0.05,0.2,1.629821621606102,2.7019226804765912,3.100408163265323,0.6032080908098444,0.814910810803051,False,0.0,66.42858340162165,hpsd_50W_10s,0
90.0,4.0,2.0,4.0,2500.0,0.5,281,106,0.05,0.2,1.2056474436632587,2.813055904448287,2.56040816326532,0.42858993372892723,0.6028237218316294,False,0.0,74.6482640289099,vhpsd_90W_4s,0
30.0,30.0,2.0,4.0,2500.0,1.0,281,106,0.05,0.2,2.0,3.6786364554523536,6.248571428571463,0.5436797096477598,1.0,True,0.0,65.95399960685766,standard_30W_30s,1
50.0,10.0,2.0,4.0,2500.0,1.0,281,106,0.05,0.2,1.8956642885150565,3.1394472865502534,4.606530612244923,0.6038210281906298,0.9478321442575283,False,0.0,71.67630811789715,hpsd_50W_10s,0
90.0,4.0,2.0,4.0,2500.0,1.0,281,106,0.05,0.2,1.4142510337207044,3.1157872403892384,3.5595918367347132,0.4538984611619469,0.7071255168603522,False,0.0,83.11194207292546,vhpsd_90W_4s,0
30.0,30.0,2.0,4.0,2500.0,1.5,281,106,0.05,0.2,2.0,4.125417713539637,7.225714285714326,0.4847993921769406,1.0,True,0.0,70.34000045417179,standard_30W_30s,1
50.0,10.0,2.0,4.0,2500.0,1.5,281,106,0.05,0.2,2.0,3.4680365761836134,5.807755102040848,0.5766951864737516,1.0,True,0.0,78.23694549769408,hpsd_50W_10s,1
90.0,4.0,2.0,4.0,2500.0,1.5,281,106,0.05,0.2,1.5878461586875763,3.3373650571168296,4.444897959183697,0.47577838549652895,0.7939230793437881,False,0.0,91.97889513407827,vhpsd_90W_4s,0
30.0,30.0,2.0,4.0,2500.0,2.0,281,106,0.05,0.2,2.0,4.524117453618105,8.114693877551064,0.44207517167807514,1.0,True,0.0,75.45444938304003,standard_30W_30s,1
50.0,10.0,2.0,4.0,2500.0,2.0,281,106,0.05,0.2,2.0,3.746561601656235,6.689387755102077,0.5338227987805844,1.0,True,0.0,85.54495356301015,hpsd_50W_10s,1
90.0,4.0,2.0,4.0,2500.0,2.0,281,106,0.05,0.2,1.7439749686814499,3.52615525758546,5.275102040816355,0.494582581107231,0.8719874843407249,False,0.05142857142857171,100.71204753035391,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,800.0,0.5,281,123,0.05,0.2,2.806493833177093,3.9177305337876174,9.188114754098411,0.7163570360373424,0.9354979443923642,False,0.0,67.50511099450097,standard_30W_30s,0
50.0,10.0,3.0,4.0,800.0,0.5,281,123,0.05,0.2,1.7167310054828697,3.266609534559046,4.761885245901666,0.5255390910118704,0.5722436684942899,False,0.0,73.34382558857571,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,800.0,0.5,281,123,0.05,0.2,1.2284947017651544,3.1551289955960073,3.445081967213134,0.3893643345422365,0.40949823392171814,False,0.0,83.81142574277419,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,800.0,1.0,281,123,0.05,0.2,3.0,4.386885745363994,11.297950819672193,0.6838564243826871,1.0,True,0.0,72.82683940338813,standard_30W_30s,1
50.0,10.0,3.0,4.0,800.0,1.0,281,123,0.05,0.2,1.9479717696669672,3.603541346074847,5.960655737704951,0.5405715052468575,0.6493239232223224,False,0.0,80.97830822329767,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,800.0,1.0,281,123,0.05,0.2,1.4120242482660554,3.3906415869539135,4.230737704918056,0.4164475106124651,0.4706747494220185,False,0.0,93.34938824195095,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,800.0,1.5,281,123,0.05,0.2,3.0,4.795850361248835,12.847131147541054,0.6255407850587738,1.0,True,0.0,79.09290245226208,standard_30W_30s,1
